Candidate,objectid,RA,dec,grade,photoz,imag,notes,,
DESJ0236-5121,358035059,39.00938,-51.36216,2.3,0.84,19.4,a1,d,
DESJ0237-0913,310489076,39.36384,-9.21903,2.7,0.82,20.2,,,
DESJ0237-1801,311649867,39.43907,-18.01724,2.7,0.71,20,,,
DESJ0239-0134,313249545,39.97131,-1.58221,3,0.44,17.4,ac 9,,
DESJ0239-2047,314286307,39.77696,-20.78834,2.7,0.64,19,,,
DESJ0239-3211,312045408,39.8736,-32.19155,3,0.43,18.8,,,
DESJ0239-4620,315501070,39.93357,-46.34466,2.7,0.4,17.2,,,
DESJ0241-4115,316978966,40.27731,-41.25195,3,0.77,20.4,,,
DESJ0241-5949,315606461,40.37339,-59.8258,2,0.58,19.9,,,
DESJ0242-0207,317586407,40.56738,-2.13037,2.7,0.57,19.8,,,
DESJ0242-2943,315970445,40.62048,-29.71815,2.7,0.47,18.6,,,
DESJ0242-4811,318896675,40.68463,-48.19355,2.3,0.48,19.1,,,
DESJ0243-0006,316036876,40.76267,-0.10005,2.7,0.45,17.7,c,,
DESJ0243-2142,316505122,40.86666,-21.70053,2.3,0.59,19.4,,,
DESJ0244-0008,322334792,41.17054,-0.14366,2.3,0.52,19.4,,,
DESJ0244-3019,318630744,41.20595,-30.32132,2.7,0.67,19.5,,,
DESJ0245-5129,322546320,41.46421,-51.4975,2.7,0.68,18.8,a1,d,
DESJ0245-5301,320239802,41.35337,-53.02927,2.7,0.39,17.2,,,
DESJ0247-3750,320382487,41.80879,-37.83504,2.3,0.39,17.9,d,,
DESJ0247-4432,320576771,41.75052,-44.5364,2,0.74,18.7,,,
DESJ0247-5917,323527567,41.77716,-59.29213,2.7,0.41,17.5,a1,d,
DESJ0248-0331,323148175,42.01411,-3.52913,3,0.38,15.6,b,,
DESJ0248-3955,320189990,42.03972,-39.93008,3,0.66,19.1,c,,
DESJ0248-6054,322703225,42.24005,-60.90097,2.7,0.56,19.2,,,
DESJ0249-5056,324524229,42.49448,-50.94399,2.3,0.6,19.9,,,
DESJ0250-1610,324211306,42.71571,-16.16883,2.3,0.4,17.7,,,
DESJ0250-1811,323759326,42.61404,-18.19468,2,0.67,19.9,,,
DESJ0250-2545,325876415,42.58849,-25.75382,2.3,0.65,19.6,,,
DESJ0250-5524,331348861,42.71781,-55.40325,3,0.75,19.6,,,
DESJ0251-0613,324179816,42.93427,-6.22482,2.7,0.42,17.4,,,
DESJ0251-1220,325171876,42.89705,-12.33367,3,0.46,18.1,d,,
DESJ0252-2145,325350854,43.18031,-21.75937,2.3,0.45,18.7,,,
DESJ0252-4732,325184579,43.08284,-47.54382,2.3,0.49,18.4,a1,d,
DESJ0253-1239,332638388,43.37844,-12.65088,2.7,0.68,19.8,,,
DESJ0253-2050,326901259,43.41658,-20.8375,2,0.58,18.8,,,
DESJ0253-3547,328771437,43.39711,-35.79207,2.7,0.66,19.8,,,
DESJ0256-1215,350492611,44.01502,-12.25496,2.7,0.49,18.1,,,
DESJ0256-2707,333129437,44.09736,-27.12183,3,0.76,20.1,,,
DESJ0259-0804,332519880,44.95084,-8.07945,2.3,0.57,19,,,
DESJ0259-1521,335268116,44.80894,-15.36354,2.7,0.44,18,,,
DESJ0259-5206,337550755,44.85811,-52.11193,2.3,0.57,17.8,d,,
DESJ0300-5001,335766992,45.09019,-50.02469,3,0.53,18.4,a1,,
DESJ0300-5144,337527643,45.13631,-51.74562,3,0.61,18.4,a1,,
DESJ0301-4426,337812631,45.4638,-44.44055,2.3,0.76,20.2,,,
DESJ0302-2137,336668432,45.59119,-21.63207,2.7,0.48,18.7,,,
DESJ0303-4626,341691067,45.9507,-46.44066,2.7,1.37,20.7,a1,,
DESJ0303-5023,338494005,45.96811,-50.39776,2,0.64,19.7,,,
DESJ0304-4921,341631765,46.06729,-49.35725,3,0.34,17.5,"b1,2",,
DESJ0304-5846,341516834,46.15722,-58.77995,2.3,0.73,19.9,,,
DESJ0305-1024,341195944,46.27306,-10.40325,2,0.75,20.1,d,,
DESJ0305-1636,337847674,46.31967,-16.60365,2.3,0.6,18.9,d,,
DESJ0306-2304,342445367,46.69704,-23.07635,2.3,0.52,19,,,
DESJ0307-1811,342297166,46.93881,-18.18558,2,0.26,20.9,,,
DESJ0307-5042,344560939,46.96054,-50.70122,2.3,0.59,18.4,"b1,2",,
DESJ0307-6241,341257301,46.87411,-62.68482,2,0.48,18.1,,,
DESJ0308-2106,343364859,47.2,-21.10386,3,0.76,20.2,d,,
DESJ0309-1332,342860023,47.33215,-13.53674,2,0.59,19.8,d,,
DESJ0309-1437,343011680,47.43782,-14.62114,2.7,0.79,20.2,a11,,
DESJ0309-3805,343290165,47.33576,-38.09604,2.7,0.62,18.9,,,
DESJ0309-6239,328377991,47.32498,-62.66179,2.3,0.44,18.7,,,
DESJ0310-0903,342955143,47.52242,-9.05404,2,0.61,19.4,,,
DESJ0310-4647,345606854,47.63526,-46.78398,2.7,0.71,19.1,"b1,2",,
DESJ0311-2601,329906936,47.77324,-26.01778,2.7,0.94,20.5,,,
DESJ0311-4232,340768337,47.86322,-42.53863,2.7,0.37,17.5,,,
DESJ0313-2006,327373298,48.29103,-20.10875,2.3,0.8,19.8,,,
DESJ0313-3610,382872932,48.40598,-36.17775,3,0.4,20.5,d,,
DESJ0314-2127,382406538,48.64811,-21.46665,2.3,0.45,17.8,d,,
DESJ0314-2841,339342483,48.57753,-28.69899,2.3,0.54,19.1,,,
DESJ0315-6220,348227502,48.93026,-62.34321,2,0.51,19.1,,,
DESJ0316-2236,346057868,49.16179,-22.60925,3,0.79,19.6,,,
DESJ0317-2118,347820479,49.42391,-21.30499,2.7,0.48,18.1,d,,
DESJ0317-2625,349590200,49.29261,-26.42107,2,0.76,20.3,,,
DESJ0318-1942,348794656,49.62499,-19.70766,2,0.64,19.4,,,
DESJ0319-1734,351516752,49.92199,-17.5679,3,0.68,20.1,,,
DESJ0319-4759,354488458,49.99213,-47.98763,2,0.48,19.3,,,
DESJ0319-5318,348242739,49.75905,-53.30547,2,0.43,17.7,a1,,
DESJ0319-5751,354864135,49.90701,-57.85219,2.7,0.54,19.2,,,
DESJ0320-1624,352008867,50.15414,-16.40618,3,0.59,19.6,,,
DESJ0320-3119,355312277,50.06689,-31.32149,2,0.75,19.5,,,
DESJ0320-4159,349979646,50.11682,-41.98881,2.7,0.66,19.1,,,
DESJ0321-1530,353748149,50.3566,-15.50098,2.7,0.62,19.5,,,
DESJ0322-2339,355712108,50.67685,-23.66524,2.3,0.54,19.4,,,
DESJ0322-3946,358893159,50.71632,-39.76936,2.7,0.85,20.3,,,
DESJ0322-4224,358251063,50.59429,-42.40605,2.3,0.57,19.3,,,
DESJ0322-5234,359440586,50.56837,-52.5779,3,0.46,18,a1,,
DESJ0324-3556,359347789,51.02925,-35.93638,2,0.38,17.6,,,
DESJ0326-4812,362343856,51.51215,-48.20995,2,0.43,17.7,d,,
DESJ0326-5645,361461421,51.62299,-56.7617,2.7,0.68,20.2,a1,,
DESJ0327-1326,360253469,51.86318,-13.43961,3,0.56,19,b,,
DESJ0327-3246,361760653,51.79729,-32.77616,2.7,0.65,19,,,
DESJ0328-2140,362669813,52.0566,-21.67208,2.3,0.59,18.2,b,,
DESJ0328-3833,361724422,52.24989,-38.55273,2.3,0.41,18.3,,,
DESJ0328-4029,363968737,52.00516,-40.49922,2,0.51,19.2,,,
DESJ0329-5656,361472987,52.26624,-56.94944,2.7,0.4,17.3,,,
DESJ0330-2127,362656939,52.62838,-21.45315,2,0.72,20,d,,
DESJ0330-5228,368913139,52.73718,-52.47028,2.5,0.46,17.7,"b1,2",,
DESJ0332-1325,365125003,53.01064,-13.4195,2.3,0.64,20.2,d,,
DESJ0333-1440,366164591,53.4832,-14.66914,2.2,0.53,18.5,b,,
DESJ0333-1837,366216886,53.41061,-18.61902,2,0.26,20.2,,,
DESJ0334-1838,366217976,53.74324,-18.64403,2.7,0.51,19.1,,,
DESJ0334-2634,367701604,53.74703,-26.57546,2,0.44,17.7,d,,
DESJ0334-4817,367248708,53.54557,-48.28704,2,0.5,18.3,a1,,
DESJ0334-4940,368398173,53.58416,-49.67789,2,0.66,19.1,,,
DESJ0334-6034,368841941,53.74437,-60.58056,2.3,0.58,18.3,,,
DESJ0336-2021,367624957,54.17408,-20.3531,2,0.65,19.6,b,,
DESJ0336-3812,368270048,54.11897,-38.20245,2,0.45,18.6,,,
DESJ0337-3152,370414914,54.32183,-31.87043,3,0.47,18.6,,,
DESJ0338-1619,371619216,54.69029,-16.32305,2.7,0.7,19.7,,,
DESJ0339-5830,370944473,54.77706,-58.50469,2.3,0.36,17.2,,,
DESJ0340-2533,374318639,55.08904,-25.55837,2.7,0.67,19.5,d,,
DESJ0341-5130,374811766,55.37833,-51.51241,2.7,0.42,19,a1,,
DESJ0342-5355,374878192,55.5192,-53.92059,3,0.63,18.4,a1,d,
DESJ0344-4447,378734502,56.14624,-44.79555,3,0.81,20.1,,,
DESJ0345-2459,378104707,56.3664,-24.98848,3,0.47,19.3,,,
DESJ0347-2454,378100572,56.93556,-24.90874,3,0.57,19.2,,,
DESJ0347-3158,424959030,56.95311,-31.98063,2.3,0.38,17.5,d,,
DESJ0347-3647,380333963,56.93924,-36.79364,2.3,0.61,19.2,,,
DESJ0347-4535,379955716,56.80535,-45.585,3,0.66,19,a1,,
DESJ0348-1306,379862967,57.14437,-13.11303,2,0.59,18.4,d,,
DESJ0348-2145,379404679,57.00965,-21.75082,3,0.43,17.2,,,
DESJ0348-2655,379292496,57.02437,-26.92048,2,0.37,17.6,,,
DESJ0349-1500,382692058,57.45008,-15.00234,2.3,0.37,17.3,,,
DESJ0349-4857,380145919,57.33127,-48.95926,3,0.65,18.8,a1,,
DESJ0350-4824,381150466,57.70236,-48.40619,2.3,0.78,20.1,,,
DESJ0352-3825,385542120,58.1767,-38.42915,3,0.54,18.4,,,
DESJ0353-1706,386508843,58.44268,-17.1109,3,0.6,19.2,,,
DESJ0354-1609,386476783,58.57614,-16.1645,2.7,0.63,18.7,,,
DESJ0354-2420,386408997,58.69798,-24.33749,3,0.66,19.5,,,
DESJ0356-1457,386858139,59.21895,-14.96632,2.3,0.55,19.4,,,
DESJ0356-2408,386397276,59.20438,-24.14476,3,0.48,18.7,,,
DESJ0356-5607,392535235,59.026,-56.12484,2,0.48,17.6,d,,
DESJ0357-5810,482065451,59.40346,-58.18149,2.7,0.61,18.5,a1,,
DESJ0357-5951,386543661,59.33565,-59.86512,2.3,0.58,19.3,,,
DESJ0358-2950,387200923,59.53509,-29.84965,2,0.4,18.3,,,
DESJ0402-2205,484107721,60.5238,-22.09897,3,0.49,19.3,d,,
DESJ0402-5258,482528109,60.73983,-52.97845,2,0.87,20.5,a1,,
DESJ0403-1512,486502907,60.80335,-15.21602,2,0.65,19.9,,,
DESJ0403-5432,488465172,60.84466,-54.54363,3,0.75,19.7,,,
DESJ0406-2646,484389531,61.60206,-26.77362,3,1.54,20.3,,,
DESJ0407-5713,389992748,61.81508,-57.21756,2.7,0.4,17.8,d,,
DESJ0408-5354,488067795,62.09132,-53.90026,2.7,0.04,19.5,"a1,12",,
DESJ0410-3037,406431056,62.55545,-30.62385,2,0.73,19.8,,,
DESJ0411-2256,398879866,62.7834,-22.94312,2.3,0.57,19.8,,,
DESJ0411-3144,397635797,62.95688,-31.74853,2.7,0.78,20.3,,,
DESJ0411-4819,400940211,62.79569,-48.32768,2.7,0.46,17.7,"ac1,13",,
DESJ0411-5107,403494207,62.92814,-51.12636,2.3,0.48,17.8,,,
DESJ0412-1954,401080659,63.16191,-19.90303,2.7,0.64,19.5,c,,
DESJ0412-2646,402142279,63.17877,-26.77565,2.3,0.43,17.1,,,
DESJ0413-2344,400295190,63.42129,-23.73947,2,0.71,19.4,,,
DESJ0415-4012,398187423,63.91078,-40.20893,2,0.55,19.7,,,
DESJ0415-4143,402556287,63.93554,-41.72949,2.3,0.75,19.2,d,,
DESJ0416-5525,496377974,64.18671,-55.41675,2.7,0.43,17.6,a1,d,
DESJ0416-5908,401596916,64.16482,-59.14804,2.3,0.53,19.1,,,
DESJ0418-5457,406587770,64.54117,-54.95973,2.7,0.53,19.6,a1,,
DESJ0418-6125,496621301,64.60748,-61.42413,2.3,0.38,17.5,,,
DESJ0419-2959,495663192,64.77709,-29.99383,2,0.91,20.3,,,
DESJ0420-5422,498547848,65.1782,-54.37706,2,0.73,19.8,,,
DESJ0422-2132,496451011,65.5759,-21.54608,3,0.64,19.3,,,
DESJ0422-4031,498968361,65.60553,-40.53217,3,0.41,17.9,d,,
DESJ0424-3317,498603518,66.16119,-33.29491,3,0.62,18.2,c,,
DESJ0428-3218,499443386,67.06771,-32.30001,2.3,0.71,19.4,,,
DESJ0429-2243,469427390,67.37815,-22.73322,2.3,0.66,19.6,,,
DESJ0429-2826,505469261,67.28763,-28.438,2,0.47,18.5,,,
DESJ0429-6011,470193950,67.39444,-60.19064,2.3,1.06,20.2,,,
DESJ0430-2051,469242961,67.59246,-20.85277,2,0.62,19.5,,,
DESJ0431-4317,505813589,67.92345,-43.29463,2,0.55,19.5,,,
DESJ0431-5422,469937250,67.8459,-54.37902,2.3,0.55,19.3,,,
DESJ0433-2714,469726289,68.26475,-27.23982,2.7,0.53,19.6,,,
DESJ0433-4456,470414267,68.45305,-44.93493,2,0.6,19.6,,,
DESJ0437-5136,508636686,69.45059,-51.60777,2.3,0.59,19.6,,,
DESJ0437-6428,490781756,69.3146,-64.47504,2.3,0.44,17.8,,,
DESJ0437-6502,497809494,69.48652,-65.03786,2.3,0.63,18.7,,,
DESJ0438-3228,490038071,69.52573,-32.48116,2,0.4,17.3,,,
