Name,zlens,zsrc,rEin(kpc),log_MEin_M_sun,"fChab
stellarEin",f∗Ein,stellarEinfstellareff,log_Mstellar_M_sun_Chab,error_of_mass_chab,log_Mstellar_M_sun__Salpeter,error_of_mass_sal,MB,MV,MB0,MV0
SDSSJ1627−0053,0.208,0.524,4.18,11.36,0.46±0.09,0.80±0.16,0.73,11.45,0.09,11.7,0.09,-21.93±0.06,-22.70±0.07,-21.61±0.09,-22.41±0.09
SDSSJ1630+4520,0.248,0.793,6.91,11.69,0.39±0.07,0.69±0.11,0.93,11.61,0.07,11.86,0.07,-22.24±0.05,-23.04±0.05,-21.88±0.08,-22.71±0.08
SDSSJ1636+4707,0.228,0.675,3.96,11.25,0.53±0.10,0.95±0.18,0.78,11.38,0.08,11.63,0.08,-21.91±0.06,-22.65±0.07,-21.55±0.10,-22.33±0.10
SDSSJ1644+2625,0.137,0.61,3.07,11.12,0.46±0.09,0.81±0.15,0.79,11.18,0.09,11.43,0.08,-21.45±0.13,-22.16±0.07,-21.19±0.10,-21.94±0.09
SDSSJ1709+2324,0.347,0.719,4.94,11.43,,,,,,,,,,,
SDSSJ1718+6424,0.09,0.737,,,,,,,,,,,,,
SDSSJ1719+2939,0.181,0.578,3.89,11.28,0.40±0.08,0.71±0.14,0.94,11.22,0.08,11.46,0.08,-21.50±0.12,-22.22±0.07,-21.17±0.10,-21.94±0.10
SDSSJ2141−0001,0.138,0.713,,,,,,,,,,,,,
SDSSJ2238−0754,0.137,0.713,3.08,11.11,0.41±0.06,0.73±0.11,0.67,11.2,0.06,11.45,0.06,-21.55±0.06,-22.26±0.06,-21.31±0.09,-22.05±0.09
SDSSJ2300+0022,0.228,0.463,4.51,11.47,0.33±0.05,0.58±0.09,0.77,11.4,0.07,11.65,0.07,-21.86±0.05,-22.62±0.05,-21.52±0.08,-22.32±0.08
SDSSJ2302−0840,0.09,0.222,,,,,,,,,,,,,
SDSSJ2303+1422,0.155,0.517,4.35,11.42,0.34±0.05,0.59±0.09,0.61,11.47,0.06,11.71,0.06,-22.23±0.06,-22.94±0.06,-21.96±0.09,-22.71±0.09
SDSSJ2321−0939,0.082,0.532,2.47,11.08,0.48±0.09,0.84±0.15,0.52,11.35,0.08,11.6,0.08,-21.83±0.06,-22.54±0.06,-21.65±0.08,-22.40±0.09
SDSSJ2341+0000,0.186,0.807,4.5,11.35,0.38±0.07,0.67±0.13,0.57,11.48,0.08,11.73,0.08,-22.08±0.11,-22.82±0.07,-21.76±0.11,-22.55±0.10
SDSSJ2343−0030,0.181,0.463,4.62,11.49,,,,,,,,,,,
SDSSJ2347−0005,0.417,0.714,6.1,11.67,0.35±0.07,0.62±0.12,0.86,11.58,0.09,11.83,0.08,-22.82±0.06,-23.50±0.06,-22.17±0.18,-22.93±0.16
